Тон обращения,Длина обращения (предложения),Тип жалобы-обращения,Наличие грамматических ошибок,Отсутствие знаков препинания,Возраст,Пол,Уникальный айди обращения,Кол-во уникальных товаров в заказе,Список товаров в заказе,Количество каждого товара,Цена каждого товара,Общая стоимость товаров,Название проблемного продукта,Количество товара с проблемой,Обращение
злой,5,испорченный товар,False,True,34,женщина,Pc3MGo,1,['Чай'],[2],[1334],2668,['Чай'],1,"Здравствуйте, Яндекс Лавка! У меня возникла серьезная проблема с вашим товаром. Я заказал два чая, но один из них оказался испорченным. Уверен, что такое неприятное качество не соответствует вашим стандартам. Очень раздражает, что я оказался в такой ситуации. Прошу вас решить эту проблему немедленно! Жду ответа, и надеюсь, что вы сможете вернуть мне деньги за испорченный товар. Спасибо!"
обеспокоенный,4,привезли не все товары,True,True,25,мужчина,eJsv5O,1,['Томаты'],[3],[7983],23949,['Томаты'],2,"яндекс лавка!заказывал томаты, а привезли только 1. весь огорчённый, потому что нужно было 3. что делать? спасибо"
нейтральный,1,испорченный товар,True,True,21,женщина,PWqoDC,7,"['Томаты', 'Рыба', 'Огурцы', 'Хлеб', 'Молоко', 'Чай', 'Кофе']","[3, 2, 2, 2, 2, 2, 2]","[6317, 9234, 7767, 6948, 1708, 8452, 9519]",106207,['Чай'],1,"яндекс лавка, я заказал 2 чая, но 1 чай был испорченный. нужно вернуть деньги. спс"
в замешательстве,3,испорченный товар,True,True,38,женщина,Is309J,1,['Чай'],[4],[4158],16632,['Чай'],2,"яндекс лавка, я в замешательстве. испорченный товар! мне пришел чая 4, но два из них испорченные! что делать? помощь!"
обеспокоенный,15,привезли не все товары,True,True,36,женщина,9LN2hx,5,"['Молоко', 'Хлеб', 'Сок', 'Рыба', 'Курица']","[4, 2, 4, 3, 2]","[6194, 1602, 7636, 3492, 8603]",86206,['Курица'],2,"яндекс лавка, я обеспокоенный, не привезли курицу!!! вчера заказывал и до сих пор нету. что произошло??? вы где? заказываю у вас уже давно и никогда не было проблем. исправьте это немедленно!"
обеспокоенный,4,привезли не все товары,True,True,30,мужчина,fpob5y,2,"['Картофель', 'Огурцы']","[3, 3]","[4520, 9955]",43425,['Картофель'],2,"яндекс лавка привезла не все товары. очень обеспокоенный. заказывал 3 картофель, а привезли только 1. что делать?"
удивленный,3,испорченный товар,True,False,35,мужчина,zbzwPS,2,"['Хлеб', 'Томаты']","[4, 4]","[1959, 1513]",13888,['Хлеб'],3,"Добрый день!Я недавно сделал заказ в вашем магазине Яндекс Лавка и был удивлен обнаружить, что один из товаров, хлеб, испорченный. Я заказал 4 хлеба, но из них 3 оказались непригодными к употреблению. Я не понимаю, как такое могло произойти!Пожалуйста, примите меры, чтобы исправить эту ситуацию. Я ожидаю, что вы замените испорченный товар и доставите мне качественный хлеб. Спасибо! Жду скорого ответа!"
опасающийся,2,привезли не все товары,True,True,33,мужчина,xFQ7iT,1,['Хлеб'],[4],[4628],18512,['Хлеб'],3,"яндекс лавка, привезли не все хлеб. я опасающийся, что только один хлеб привезли, а заказывал 4 хлеба. мне нужно еще 3 хлеба. спасибо!"
уважительный,1,испорченный товар,False,False,40,женщина,FcXY86,2,"['Сок', 'Картофель']","[2, 4]","[5069, 4578]",28450,['Сок'],1,"Добрый день! Я обращаюсь к вам от имени двух клиентов Яндекс Лавки. У нас возникла проблема с одним из заказанных товаров - испорченный сок. Мы сделали заказ на два сока, но один из них пришел испорченным. Мы очень уважаем ваш сервис и хотели бы попросить вас помочь решить эту проблему. Будем благодарны за вашу помощь. С уважением, Ваши клиенты Яндекс Лавки."
в недоумении,5,привезли не все товары,True,True,32,женщина,Ov8ZaP,2,"['Хлеб', 'Молоко']","[4, 3]","[7173, 7752]",51948,['Молоко'],2,яндекc лавка привезла не все товары!!! заказывала 3 молоко но привезли только 1!!!! в недоумении почему так получилось???!!! я очень расстроена!!! нужно чтобы все товары были привезены!!!
уверенный,2,испорченный товар,False,True,36,мужчина,WqxbuI,3,"['Кофе', 'Рыба', 'Огурцы']","[4, 4, 2]","[4324, 8071, 1315]",52210,['Кофе'],3,"Добрый день, Яндекс Лавка! Хочу сообщить о проблеме с испорченным товаром. Я заказал 4 пакета кофе, но из них 3 оказались испорченными. Прошу принять меры и заменить испорченные товары. Благодарю за понимание!"
раздраженный,1,привезли не все товары,False,False,24,женщина,4G2p2y,6,"['Чай', 'Картофель', 'Рыба', 'Курица', 'Хлеб', 'Томаты']","[4, 3, 2, 4, 2, 3]","[7849, 7977, 2585, 6233, 2645, 8563]",116408,['Чай'],1,"Здравствуйте, Яндекс Лавка! Я раздражен, так как вы привезли не весь товар. Я заказал 4 пакета чая, но вы доставили только 3. Прошу вас исправить эту ситуацию и доставить оставшийся пакет чая как можно скорее. Спасибо!"
Позитивный,30,привезли не все товары,True,False,34,мужчина,6O9sbw,4,"['Кофе', 'Молоко', 'Томаты', 'Огурцы']","[3, 3, 3, 3]","[7949, 8983, 6140, 6195]",87801,['Огурцы'],3,"Добрый день, Яндекс Лавка! Я очень обрадовался, когда узнал, что смогу заказать огурцы у вас. Но, к сожалению, они так и не привезли. Хотелось бы верить, что это просто ошибка, и вы исправите ситуацию. Очень надеюсь, что огурцы вскоре появятся у меня дома. Благодарю за внимание и надеюсь на оперативный ответ от вас! С уважением, ваш клиент."
злой,1,"уточнение, где курьер",False,True,32,мужчина,1oVD3W,1,['Чай'],[3],[2355],7065,['Чай'],1,"Уважаемый отдел доставки,Хотелось бы уточнить, где находится мой заказанный товар. Курьер, обладающий информацией о доставке, пожалуйста, свяжитесь со мной. Спасибо."
злой,3,испорченный товар,True,True,19,женщина,ibfUP8,2,"['Сок', 'Курица']","[3, 3]","[1001, 5677]",20034,['Курица'],1,"яндекс лавка, я зла, дайте мне три куриц! курица, что я получил из моего последнего заказа, испорчена. хочу свои три курицы в нормальном состоянии! именно из-за этой курицы у меня испортился аппетит. не больше грамматических ошибок в обращении!"
злой,1,испорченный товар,True,True,39,женщина,FX0YBM,5,"['Картофель', 'Молоко', 'Рыба', 'Сок', 'Курица']","[3, 2, 4, 2, 2]","[1536, 7903, 5816, 8902, 8105]",77692,['Курица'],1,"яндекс лавка, у меня проблема с курицой. купил две курицы, а одна из них испортилась. это ужасно. что делать?"
в замешательстве,4,испорченный товар,True,True,28,мужчина,bZjAyH,2,"['Томаты', 'Сок']","[3, 3]","[8292, 1002]",27882,['Сок'],1,"Дорогая Яндекс Лавка,я совсем в замешательстве! Я заказал 3 пакета сока, но вместо этого получил испорченный товар. Такой неприятный сюрприз меня очень расстроил. Мне очень важно, чтобы мои заказы приходили в хорошем состоянии, поэтому прошу вас решить эту проблему.С уважением,Ваш клиент"
злой,1,привезли не все товары,True,False,18,женщина,xzkJLA,5,"['Хлеб', 'Молоко', 'Рыба', 'Картофель', 'Сок']","[4, 3, 4, 2, 4]","[3626, 7027, 5499, 1323, 3828]",75539,['Картофель'],1,"Здравствуйте, Яндекс Лавку! Я очень недоволен вашей работой! Вы не привезли один картофель из двух, которые я заказал. Я ожидал получить полный заказ, но вместо этого получил только половину товара. Очень разочарован вашим сервисом! Будьте добры, исправьте эту ситуацию немедленно! Я ожидаю полную компенсацию за недоставленный товар!"
удивленный,5,привезли не все товары,False,False,23,женщина,H6Ujca,1,['Хлеб'],[2],[5403],10806,['Хлеб'],1,"Удивленный, не все привезли товары! Заказывал 2 хлеба, а привезли только 1. Что делать? Жду ответа!"
отчаянный,3,привезли не все товары,True,False,34,мужчина,ca3cpT,10,"['Молоко', 'Рыба', 'Хлеб', 'Картофель', 'Огурцы', 'Томаты', 'Чай', 'Сок', 'Кофе', 'Курица']","[3, 2, 3, 4, 2, 2, 2, 3, 4, 3]","[2900, 3072, 2727, 9570, 3912, 8454, 5441, 1998, 3339, 7619]",139126,['Курица'],2,"Здравствуйте, Яндекс Лавка! Я уже отчаян, потому что привезли не все товары. Заказывал 3 курицы, но привезли только 1! Что произошло? Очень надеюсь на вашу помощь. Спасибо заранее!"
уважительный,2,"уточнение, где курьер",False,True,36,женщина,frSoR4,7,"['Чай', 'Картофель', 'Огурцы', 'Курица', 'Хлеб', 'Рыба', 'Кофе']","[4, 2, 3, 2, 3, 4, 3]","[1796, 6584, 2296, 5757, 6492, 8762, 7766]",116576,['Картофель'],1,"Уважаемый курьер,Хочу обратить ваше внимание на проблему с доставкой моего заказа. На данный момент я не имею никакой информации о местонахождении товара, и это вызывает у меня беспокойство. Я надеюсь, что сможете оперативно разрешить данную ситуацию и предоставить мне актуальную информацию о доставке. Спасибо за понимание.С наилучшими пожеланиями,[Твое имя]"
отчаянный,1,испорченный товар,True,False,32,женщина,j5BykN,2,"['Рыба', 'Молоко']","[2, 4]","[7458, 3659]",29552,['Рыба'],1,"Здравствуйте, Яндекс Лавку! У меня огромная проблема! Я только что получил товар, и мне очень грустно... Когда я открыл упаковку, обнаружил испорченную рыбу! Я заказал 2 рыбы, но одна из них испортилась! Как такое могло произойти? Я так нуждался в свежей рыбе! Пожалуйста, помогите мне разобраться в этой ситуации!"
испуганный,5,привезли не все товары,True,True,24,мужчина,R1QOTt,3,"['Томаты', 'Молоко', 'Сок']","[2, 3, 3]","[6824, 3682, 6681]",44737,['Сок'],1,"яндекс лавка, привезли не все товары, я так испуган, заказал 3 со(к), а привезли только 2. помагите пожалуйста"
уважительный,3,испорченный товар,False,True,32,мужчина,AuXoKJ,3,"['Хлеб', 'Курица', 'Кофе']","[3, 4, 4]","[1977, 2821, 3765]",32275,['Кофе'],2,"Добрый день! Я обращаюсь к вам от имени заказа на Яндекс Лавку. Мы получили испорченный кофе. К сожалению, из четырех заказанных пачек две оказались в плохом состоянии. Прошу обратить на это внимание и решить данную проблему. Спасибо за понимание!"
сожалеющий,5,испорченный товар,True,True,33,мужчина,l0cjKQ,2,"['Картофель', 'Чай']","[3, 4]","[7874, 3998]",39614,['Картофель'],1,добрый день я очень сожалеющий но я вынужден пожаловаться на испорченный товар картофель который я получил в вашем магазине я заказал 3 картофель но когда я открыл пакет я увидел что один картофель испорченного. я очень расстроен такой ситуацией и прошу вас помочь мне решить эту проблему буду ждать вашего ответа спасибо.
негативный,30,привезли не все товары,False,False,30,женщина,OuxlRH,1,['Кофе'],[3],[1435],4305,['Кофе'],1,"Здравствуйте, Яндекс Лавку! Я очень разочарована вашей работой. Вы привезли только два кофе, хотя я заказала три! Что произошло? Я ожидала лучшего сервиса от вас. Жду вашего ответа. Спасибо!"
в недоумении,1,испорченный товар,False,False,22,женщина,AsIhZb,1,['Чай'],[4],[8417],33668,['Чай'],3,"Здравствуйте, поддержка Яндекс Лавки! Я в недоумении от качества товара. Я заказал 4 чая, но из них 3 оказались испорченными. Что делать в такой ситуации? Буду очень благодарен за помощь! Спасибо!"
нейтральный,4,привезли не все товары,False,True,24,женщина,p9uRxi,4,"['Кофе', 'Картофель', 'Курица', 'Сок']","[2, 3, 2, 2]","[1438, 1419, 9797, 9962]",46651,['Сок'],2,"яндекс лавка, не привезли сок. где мой сок"
обеспокоенный,30,испорченный товар,True,False,22,мужчина,btvYnL,5,"['Курица', 'Томаты', 'Сок', 'Хлеб', 'Картофель']","[4, 2, 4, 3, 3]","[3357, 7593, 1434, 4005, 8263]",71154,['Хлеб'],2,"Здравствуйте, я обеспокоенным клиентом Яндекс Лавки. Я получил испорченный товар - хлеб. Я заказал 3 хлеба, но 2 из них оказались испорченными. Я очень расстроен этим. Пожалуйста, помогите мне решить эту проблему. Буду ждать вашего ответа."
учтивый,5,испорченный товар,False,True,28,женщина,QGlNpY,1,['Чай'],[2],[5484],10968,['Чай'],1,"Здравствуйте! Недавно заказал 2 чая в Яндекс Лавке, но к сожалению, один из них оказался испорченным. Хотелось бы обратить ваше внимание на эту проблему. Буду признателен, если вы поможете решить эту ситуацию. Спасибо!"
благодарность,15,испорченный товар,True,True,39,мужчина,tgFO90,2,"['Молоко', 'Рыба']","[2, 3]","[1506, 6489]",22479,['Молоко'],1,"Добрый день, Яндекс Лавка! Хочу выразить благодарность за качество товара. Однако, при получении заказа обнаружила испорченное молоко. Я заказала 2 штуки молока, но 1 штука оказалась испорченной. Прошу вас решить эту проблему. Спасибо!"
злой,1,испорченный товар,True,True,33,женщина,PhTVGF,3,"['Хлеб', 'Рыба', 'Курица']","[2, 3, 2]","[9709, 7197, 1605]",44219,['Курица'],1,"яндекс лавка, я очень злой и обиженный на вас! Мне отправили испорченный товар - курицу. Я заказал 2 курицы, а одна из них оказалась испорченной. Я очень разочарован вашим сервисом и требую компенсации. Дайте мне нормальную курицу или верните мне деньги! Я никогда больше не буду покупать у вас и буду рассказывать всем своим друзьям, какой вы плохой магазин! Сколько можно испорченных товаров продавать?! Я очень недоволен!"
сожалеющий,5,"уточнение, где курьер",True,True,37,мужчина,EHDs3S,5,"['Хлеб', 'Сок', 'Курица', 'Чай', 'Рыба']","[2, 4, 2, 3, 2]","[7878, 8915, 4485, 3735, 5068]",81727,['Сок'],1,"Здравствуйте,Обращаюсь с жалобой в связи с доставкой заказанного мной товара. Курьер доставил посылку, однако я пока не имею никакой информации о ее местоположении или о возможных проблемах с доставкой. Жду оперативного решения данной ситуации и надеюсь получить уточненную информацию о моем товаре. Буду благодарен за обратную связь.Спасибо."
испуганный,5,привезли не все товары,True,False,38,мужчина,ADmk92,7,"['Огурцы', 'Молоко', 'Картофель', 'Сок', 'Кофе', 'Томаты', 'Курица']","[4, 2, 3, 3, 4, 2, 3]","[3382, 3422, 1205, 8248, 8258, 7253, 6133]",114668,['Томаты'],2,"Добрый день, Яндекс Лавка! Я очень испуганный, так как не привезли товар. Мне не привезли томаты. Моя радость от заказа пропала. Может быть, они забыли положить томаты в сумку? Я был так рад, когда сделал заказ, и сейчас я в шоке. Почему томаты не привезли? Пожалуйста, скорее разберитесь в этом и исправьте ситуацию! Я очень недоволен. Жду вашего ответа!"
злой,5,привезли не все товары,True,False,22,женщина,mqgWH4,2,"['Огурцы', 'Сок']","[4, 3]","[2997, 5373]",28107,['Сок'],3,"Добрый день, Яндекс Лавка!Неправильно привезли сок! Мне нужен был Сок, а привезли сок другой марки. Очень злой! Мне нужны свежие сок, а не что-то другое. Исправьте это немедленно! Жду ответа. Спасибо!"
Позитивный,30,проблемы с доставкой,True,False,24,женщина,cD9xKy,1,['Молоко'],[4],[2971],11884,['Молоко'],2,"Уважаемая служба доставки, хочу выразить свое недовольство и возникшую проблему с получением товара. Когда я смогу его получить?"
радостный,15,привезли не все товары,False,True,25,женщина,hjpaYy,1,['Курица'],[3],[8891],26673,['Курица'],3,"Привет Яндекс Лавке! Я радостный, но не привезли товар. Мне очень нужна курица! Пожалуйста, помогите решить эту проблему. Благодарю!"
нейтральный,30,привезли не все товары,False,False,36,мужчина,6oM56V,2,"['Молоко', 'Томаты']","[4, 2]","[4575, 6225]",30750,['Молоко'],2,"Здравствуйте, Яндекс Лавка!Обращаюсь к вам с жалобой: привезли не все товары. Я заказал 4 упаковки молока, но их привезли только 2. Прошу разобраться в ситуации и привезти оставшиеся 2 упаковки молока.Благодарю за понимание и оперативное решение проблемы.С уважением,Ваш клиент."
раздраженный,5,испорченный товар,False,True,23,женщина,zfuDWe,3,"['Молоко', 'Курица', 'Чай']","[3, 2, 2]","[5466, 5603, 8580]",44764,['Молоко'],2,"яндекс лавка, не могу пропустить мимо ушей то, что произошло с моими молоками! заказываю 3 пачки, а приходит мне качество на 2 гораздо хуже! что это за отношение к клиентам?!"
раздраженный,5,привезли не все товары,True,True,21,женщина,WNhILz,2,"['Чай', 'Рыба']","[2, 4]","[1871, 5887]",27290,['Рыба'],1,"яндекс лавка!!! привезли не всго рыбы. очень роздражены!!!! надо было 4 рыб, а привезли только 3. что идете делать??? давайте быстрей исправлять!!!"
благодарность,5,привезли не все товары,False,False,23,мужчина,L3g5h8,1,['Огурцы'],[3],[1802],5406,['Огурцы'],3,"Здравствуйте, служба поддержки Яндекс Лавки! Я хотел бы выразить благодарность за ваш сервис, однако у меня возникли некоторые проблемы. К сожалению, мне не привезли огурцы. Буду очень признателен, если вы сможете помочь решить эту ситуацию. Заранее спасибо!"
обеспокоенный,15,привезли не все товары,True,True,35,женщина,8dRf1O,10,"['Рыба', 'Хлеб', 'Молоко', 'Картофель', 'Кофе', 'Сок', 'Курица', 'Томаты', 'Чай', 'Огурцы']","[3, 4, 4, 3, 3, 2, 3, 3, 2, 3]","[6266, 3816, 8441, 1322, 5225, 6168, 7273, 4025, 4196, 4616]",155937,['Томаты'],2,"добрый день. я не получил все заказанные товары. я очень огорчен. заказывал три томата, а привезли только один. почему так? очень надеюсь на вашу помощь и скорое решение этой проблемы. спасибо!"
испуганный,2,"уточнение, где курьер",False,False,32,мужчина,v0MTf4,2,"['Чай', 'Курица']","[3, 2]","[4526, 4189]",21956,['Курица'],1,"Уважаемый,Хочу выразить свое недовольство качеством обслуживания вашей компании. Я заказал товар и до сих пор не получил никакой информации о его нахождении. Курьер говорил, что доставит его сегодня, но до сих пор нет никаких уведомлений. Я очень разочарован и требую немедленного разрешения этой ситуации.С настоящим беспокойством,[Твое имя]"
злой,5,испорченный товар,True,True,40,мужчина,KKVZx9,1,['Кофе'],[2],[3728],7456,['Кофе'],1,"яндекс лавка, я очень зол на вас! Заказываю два кофя, но один кофя пришел испорченый. Это абсолютно неприемлемый, и я очень разочарован. Что вы будете делать об этом? Я жду ответа и надеюсь на вашу помощь!"
в замешательстве,30,привезли не все товары,False,False,35,мужчина,DbNO0F,3,"['Огурцы', 'Картофель', 'Хлеб']","[3, 2, 2]","[3470, 7837, 7962]",42008,['Огурцы'],3,"Здравствуйте, Яндекс Лавка!Я в замешательстве, почему не привезли огурцы. Необходимо исправить ситуацию, так как они были включены в моем заказе из приложения Яндекс Лавки. Большая просьба доставить их в ближайшее время.Спасибо за понимание!"
раздраженный,1,привезли не все товары,False,True,36,женщина,NYXEB0,1,['Курица'],[4],[3328],13312,['Курица'],4,"яндекс лавке, не привезли курочку"
нейтральный,2,привезли не все товары,True,True,32,женщина,lbNqWb,3,"['Курица', 'Томаты', 'Хлеб']","[3, 4, 2]","[8211, 9276, 9262]",80261,['Томаты'],1,"яндекс лавка, мне нужно обратиться к вам. привезли не все товары. я заказал томаты их 4, а привезли только 3. что мне делать? спасибо!"
опасающийся,1,испорченный товар,False,True,31,женщина,9HWHmE,6,"['Хлеб', 'Огурцы', 'Молоко', 'Рыба', 'Картофель', 'Кофе']","[4, 2, 2, 4, 2, 3]","[3252, 9966, 8131, 6157, 8479, 3920]",102548,['Хлеб'],3,"Добрый день!Хочу обратить ваше внимание на недовольство качеством товара. Получила заказанный хлеб, но третья часть товара оказалась испорчена. Всего заказала 4 буханки хлеба, а испорченных оказалось 3. Очень опасаюсь покупать продукты в дальнейшем, если такая ситуация может повториться. С уважением"
в недоумении,4,привезли не все товары,True,False,40,мужчина,a4SM6U,2,"['Курица', 'Хлеб']","[2, 2]","[3992, 8472]",24928,['Курица'],1,"Здравствуйте, я в недоумении! Сегодня сделал заказ в Яндекс Лавке и привезли не все товары. Заказывал 2 курицы, а привезли только 1 курицу. Что происходит? Я расстроен и ожидаю быстрого решения проблемы. Будьте внимательнее в следующий раз! Жду Вашей оперативной реакции. Спасибо."
Позитивный,5,привезли не все товары,False,False,35,женщина,RlEPqF,6,"['Молоко', 'Рыба', 'Томаты', 'Картофель', 'Чай', 'Сок']","[3, 3, 3, 3, 4, 2]","[7823, 8221, 2857, 7640, 6512, 3991]",113653,['Чай'],4,"Добрый день! Я обращаюсь в службу поддержки Яндекс Лавку. У меня возникла проблема, связанная с доставкой товаров. Мне не привезли чай. Я очень разочарован такой ситуацией, но все равно оставлю позитивный отзыв о вашем сервисе. Жду вашего ответа и надеюсь, что ситуация будет исправлена. Спасибо!"
опасающийся,2,привезли не все товары,True,True,40,мужчина,nOJUji,10,"['Огурцы', 'Чай', 'Рыба', 'Курица', 'Картофель', 'Кофе', 'Хлеб', 'Томаты', 'Сок', 'Молоко']","[4, 2, 3, 3, 4, 4, 2, 3, 4, 2]","[4076, 2843, 5801, 7977, 7952, 5036, 1022, 3475, 2385, 9635]",156555,['Чай'],2,"яндекс лавку, я боится, они не привезти чаи. хотеть, чтобы ты решить это быстрый"
испуганный,2,испорченный товар,True,True,19,женщина,p7Bj3o,3,"['Молоко', 'Рыба', 'Сок']","[4, 3, 4]","[9628, 9255, 6653]",92889,['Молоко'],1,"яндекс Лавка, я очень испуганный, у меня проблемы с одним из заказанных товаров. Мне прислали испорченым молоко, я заказал 4 штук молока, но одно молоко испорчено. помогите решить эту проблему."
