Тон обращения,Длина обращения (предложения),Тип жалобы-обращения,Наличие грамматических ошибок,Отсутствие знаков препинания,Возраст,Пол,Уникальный айди обращения,Кол-во уникальных товаров в заказе,Список товаров в заказе,Количество каждого товара,Цена каждого товара,Общая стоимость товаров,Название проблемного продукта,Количество товара с проблемой,Обращение
нейтральный,4,привезли не все товары,True,True,38,мужчина,CQg8Xr,1,['Рыба'],[2],[7981],15962,['Рыба'],2,"Здравствуйте, Яндекс Лавка! Не привезли рыбу. Очень неприятно. Жду вашего ответа. Спасибо!"
уверенный,1,привезли не все товары,True,False,23,женщина,t0wDtP,2,"['Кофе', 'Томаты']","[2, 2]","[7513, 8415]",31856,['Кофе'],2,"Здравствуйте! Я обратился в Яндекс Лавку, чтобы пожаловаться, что не привезли кофе. Я уверен, что заказал его и ждал доставки, но к сожалению, кофе не было в посылке. Будьте добры, решите эту проблему как можно скорее. Благодарю!"
благодарность,2,привезли не все товары,True,True,31,женщина,qN9TiO,1,['Картофель'],[2],[1200],2400,['Картофель'],1,"Письмо в службу поддержки Яндекс Лавки:добрый день яндекс лавка. хочу сказать благодарность вам за мои покупки, но привезли не достаточно товара. заказывала два картофеля, а привезли только один! прошу исправить эту ошибку. спасибо!"
разочарованный,30,испорченный товар,True,False,35,мужчина,8zguPn,2,"['Сок', 'Картофель']","[3, 3]","[1537, 4482]",18057,['Сок'],1,"Дорогая Яндекс Лавка,Я очень разочарована качеством товара, который я заказала у вас. Из трех заказанных мною соков, один оказался испорченным. Это вызывает у меня большое недовольство и неудовлетворение. Я надеялась на хорошее качество продукции, но получила нечто совершенно иное. Очень расстроена этим происшествием.Я прошу вас разобраться в этой ситуации и принять меры, чтобы такая ситуация больше не повторялась. Я ожидаю возмещения стоимости испорченного сока или замену его на свежий товар. Буду благодарна, если вы решите эту проблему в ближайшее время.С уважением,Ваша клиентка."
обеспокоенный,5,привезли не все товары,True,False,38,женщина,oaKA2F,3,"['Чай', 'Сок', 'Кофе']","[4, 2, 4]","[9716, 3937, 2845]",58118,['Кофе'],1,"Добрый день! Я обеспокоен тем, что при доставке моего заказа в Яндекс Лавку не привезли все товары. Заказывал 4 пакета кофе, но привезли только 3. Прошу разобраться с данной ситуацией и привезти недостающий товар как можно скорее. Спасибо!"
нейтральный,15,привезли не все товары,True,False,33,мужчина,usoh7o,2,"['Курица', 'Картофель']","[4, 2]","[5459, 9782]",41400,['Курица'],3,"Здравствуйте! Я обращаюсь к вам с жалобой на работу службы доставки Яндекс Лавки. Вчера я сделал заказ и указал, что хочу купить 4 курицы. Однако, к моему великому сожалению, мне привезли только 1 курицу. Это вызывает некоторое недоверие и разочарование. Я ожидал получить все 4 курицы, чтобы успешно приготовить планируемое блюдо. Прошу вас разобраться в данной ситуации и предоставить мне полный заказ. Благодарю за понимание и оперативное решение проблемы!"
обеспокоенный,2,привезли не все товары,False,False,40,женщина,HgIf2Y,3,"['Огурцы', 'Молоко', 'Чай']","[3, 2, 4]","[9442, 2314, 7915]",64614,['Молоко'],2,"Добрый день! Я обеспокоен тем, что не привезли молоко. Я заказывал молоко, но его не привезли. Пожалуйста, разберитесь в этом и примите необходимые меры. Благодарю!"
нейтральный,30,привезли не все товары,False,False,29,мужчина,R1QHzw,10,"['Кофе', 'Рыба', 'Хлеб', 'Томаты', 'Молоко', 'Сок', 'Огурцы', 'Курица', 'Картофель', 'Чай']","[4, 3, 2, 4, 3, 4, 2, 4, 3, 3]","[2647, 7490, 8563, 1473, 8776, 9933, 2699, 3659, 3756, 4042]",165564,['Томаты'],2,"Добрый день! Я обратился к вам, так как в моем последнем заказе из Яндекс Лавки возникла небольшая проблема. Мне привезли только 2 томата из 4, которые я заказал. Очень надеюсь, что вы сможете помочь решить эту ситуацию. Спасибо!"
благодарность,2,привезли не все товары,False,False,33,мужчина,Fh4UWn,1,['Сок'],[3],[7386],22158,['Сок'],3,"Здравствуйте, Яндекс Лавка! Хочу поблагодарить вас за вашу работу и отличный сервис. Однако, хотелось бы обратить ваше внимание на то, что не привезли сок. Может быть, возникла какая-то ошибка, но я все равно хотел бы получить свой заказ. Буду благодарен, если поможете разобраться в этой ситуации. Спасибо!"
разочарованный,1,привезли не все товары,False,False,21,мужчина,PT9hJk,6,"['Чай', 'Курица', 'Хлеб', 'Молоко', 'Кофе', 'Томаты']","[2, 2, 2, 4, 2, 2]","[5358, 6070, 9612, 4698, 5605, 5197]",82476,['Курица'],1,"Яндекс Лавка, я разочарован! Вы не привезли все товары! Я заказал 2 курицы, а привезли только 1. Как так можно?! Жду решения проблемы!"
требовательный,30,испорченный товар,True,True,20,мужчина,nzFr6i,10,"['Сок', 'Кофе', 'Молоко', 'Огурцы', 'Курица', 'Томаты', 'Хлеб', 'Картофель', 'Чай', 'Рыба']","[3, 3, 2, 3, 2, 4, 2, 4, 4, 4]","[2853, 6640, 3296, 7813, 7116, 7215, 8243, 4063, 8572, 6782]",195756,['Огурцы'],1,"Добрый день, я обращаюсь к вам относительно испорченного товара. Я заказал 3 огурца, но среди них имеется один испорченный. Я требую немедленное решение проблемы и замену этого товара. Быстро и качественно! Жду ответа."
уверенный,30,испорченный товар,True,True,20,женщина,n1Uk8o,1,['Чай'],[4],[9529],38116,['Чай'],3,"Здравствуйте, я хочу сообщить о проблеме с заказанным товаром. Я получил 4 пакета чая, но к моему разочарованию, 3 из них оказались испорченными. Чай, который я заказывал, имеет великолепный вкус и аромат, но эти пакеты обладают неприятным запахом и горьким привкусом. Я разочарован, поскольку являюсь постоянным клиентом Яндекс Лавки и всегда полагался на качество ваших товаров. Прошу вас принять меры по устранению этой проблемы и заменить испорченные пакеты чая. Благодарю вас за понимание. Жду вашего ответа."
отчаянный,3,испорченный товар,False,True,31,мужчина,MIgCDZ,8,"['Рыба', 'Молоко', 'Курица', 'Картофель', 'Кофе', 'Томаты', 'Чай', 'Сок']","[4, 2, 4, 4, 3, 2, 4, 2]","[8588, 9888, 5927, 4583, 6133, 7034, 1440, 7192]",148779,['Молоко'],1,"Здравствуйте, Яндекс Лавка! Очень отчаянно обращаюсь к вам с жалобой на испорченный товар. Я приобрела 2 бутылки молока, одну из которых оказалась испорченной. Прошу вас помочь решить эту проблему. Спасибо!"
фрустрированный,30,"уточнение, где курьер",False,True,39,мужчина,4gpGGG,3,"['Хлеб', 'Огурцы', 'Картофель']","[2, 4, 2]","[4638, 6067, 4741]",43026,['Огурцы'],2,"Уважаемый курьер! Хочу обратиться с жалобой или, скорее, уточнением о моем заказе. Я заказал товар и с нетерпением его жду. Однако возникла некая проблема с доставкой, которую я хотел бы уточнить. Мне необходимо знать, где находится мой товар и почему его доставка затягивается. Будьте добры, сообщите мне информацию о статусе доставки или разрешите возникшую проблему. Большое спасибо за вашу помощь!"
в недоумении,2,испорченный товар,True,True,35,мужчина,mImSwm,2,"['Молоко', 'Хлеб']","[3, 2]","[7222, 8508]",38682,['Молоко'],2,"яндекс лавка, я в недоумении. молоко в испорченном состоянии. заказывала 3 шт, а пришло 2. что делать?"
нейтральный,5,испорченный товар,False,True,33,мужчина,DsTAmH,1,['Молоко'],[3],[5670],17010,['Молоко'],1,"Добрый день!Хочу пожаловаться на искаженный товар. Я приобрела 3 пакета молока, но один из них окозался испорченный. Хотелось бы получить возмещение за одну упаковку молока, которая оказалась некачественной.Спасибо!"
эмпатичный,2,привезли не все товары,True,False,19,мужчина,9ORidG,10,"['Огурцы', 'Рыба', 'Курица', 'Чай', 'Кофе', 'Сок', 'Молоко', 'Картофель', 'Хлеб', 'Томаты']","[2, 4, 3, 4, 4, 3, 4, 3, 3, 2]","[2825, 3126, 7319, 9477, 1530, 2195, 7605, 8315, 3577, 1355]",159530,['Рыба'],4,"Здравствуйте, Яндекс Лавка! Мне очень жаль, но не привезли рыбу. Я очень расстроен и немного обеспокоен этой ситуацией. Надеюсь, что вы сможете разобраться в этом вопросе и решить его. Буду ждать вашего ответа. Спасибо!"
нейтральный,3,испорченный товар,True,False,18,мужчина,ZCGmuN,10,"['Томаты', 'Картофель', 'Сок', 'Молоко', 'Курица', 'Рыба', 'Огурцы', 'Чай', 'Кофе', 'Хлеб']","[4, 3, 4, 3, 3, 4, 2, 4, 2, 4]","[9000, 2359, 2004, 5972, 9047, 1969, 9635, 8981, 7014, 8638]",207800,['Рыба'],1,"Добрый день! Хочу сообщить о проблеме с покупкой в Яндекс Лавке. Купил у вас рыбу, но к сожалению она оказалась испорченной. Я заказал 4 штуки рыбы, но только 1 была испорчена. Просьба разобраться в данной ситуации. Буду благодарен за вашу помощь и решение этого вопроса.Спасибо!"
сожалеющий,15,испорченный товар,True,False,27,мужчина,DtF8Xi,4,"['Курица', 'Хлеб', 'Кофе', 'Картофель']","[2, 2, 4, 4]","[2711, 5415, 1178, 4577]",39272,['Кофе'],1,"Здравствуйте, Яндекс Лавка! Я очень сожалею, но у меня возникла проблема с заказанным товаром. Мне доставили испорченный кофе. Я заказал 4 упаковки, но 1 из них оказалась испорченной. Будьте добры, помогите решить эту ситуацию. Яндекс Лавка всегда была для меня надежным поставщиком качественных товаров, и я очень расстроен этим инцидентом. Благодарю за внимание к моей проблеме!"
разочарованный,30,испорченный товар,True,True,28,мужчина,kZ8uv8,2,"['Курица', 'Сок']","[3, 4]","[6031, 2154]",26709,['Сок'],1,"добрыйя очень разочарована яндекс лавкой. заказала 4 пачки сока, а одна из них пришла испорченная! так нельзя работать! жду ответа и возврата денег за испорченный сок!"
разочарованный,1,"уточнение, где курьер",False,False,38,женщина,bRIVdO,1,['Огурцы'],[4],[9386],37544,['Огурцы'],1,"Здравствуйте,Обращаюсь к вам с жалобой на доставку заказанного мной товара. Курьер, который должен был доставить товар, не явился по указанному адресу. Просьба уточнить местонахождение товара или решить проблему с доставкой.Спасибо."
удивленный,3,испорченный товар,False,False,40,женщина,AaJbGu,3,"['Огурцы', 'Картофель', 'Хлеб']","[2, 4, 4]","[5685, 4338, 8436]",62466,['Хлеб'],3,"Добрый день, Яндекс Лавка! У меня возникло неприятное удивление от качества товара, который я заказал. Я приобрел 4 хлеба, но 3 из них оказались испорченными. Я ожидал получить свежий и вкусный хлеб, но к сожалению, это не произошло. Прошу вас разобраться с этой ситуацией и принять меры, чтобы в будущем такого не повторялось. Спасибо!"
благодарность,30,привезли не все товары,True,False,22,мужчина,aGjDE8,3,"['Томаты', 'Кофе', 'Курица']","[3, 2, 2]","[4946, 1781, 5046]",28492,['Курица'],2,"Здравствуйте, Яндекс Лавка! Очень хочу выразить благодарность за вашу работу. Правда, но привезли заказа с курицей. Я так расстроена! Ждала доставку, но товара не появилось. Прошу принять меры и как можно скорее доставить курицу. Буду ждать вашего ответа. Спасибо заранее!"
отчаянный,30,испорченный товар,True,True,35,мужчина,9aVEy0,1,['Молоко'],[3],[9907],29721,['Молоко'],2,"яндекс лавка, я в шоке!!! заказала 3 МОЛОКА, а они все испорченные! я отчаянная! два МОЛОКА совсем прокисли! что делать?!"
благодарность,5,испорченный товар,True,True,30,женщина,8nBqK6,2,"['Молоко', 'Томаты']","[4, 2]","[3641, 7527]",29618,['Молоко'],1,"добрый день! я хочу поблагодарить вас за вашу работу и качество товаров! я заказывал 4 пачки молока, но к сожалению 1 из них была испорчена. мне очень жаль, но я надеюсь, что вы сможете решить эту проблему. спасибо!"
уверенный,15,"уточнение, где курьер",True,True,31,женщина,8BQH1f,6,"['Хлеб', 'Курица', 'Кофе', 'Сок', 'Картофель', 'Чай']","[3, 4, 2, 4, 3, 3]","[9170, 7203, 7284, 4587, 6532, 9043]",135963,['Хлеб'],2,"Уважаемый отдел доставки,Обращаюсь к вам с жалобой по поводу заказанного мной товара. Меня очень огорчает текущая ситуация и недостаток информации о его местонахождении. Ожидалось, что курьер доставит товар вовремя, однако до сих пор я не получил никаких уведомлений о его доставке. Прошу вас незамедлительно уточнить, где находится мой заказ и решить проблему с доставкой.Спасибо за понимание.С уважением,[Твое имя]"
раздраженный,4,привезли не все товары,False,True,35,женщина,Zmpi54,1,['Чай'],[3],[5252],15756,['Чай'],1,"Здравствуйте, я очень раздражен тем, что вы привезли не весь заказ. Я заказал 3 пакетика чая, а вы привезли только 2. Пожалуйста, проверьте, где остался третий пакетик чая и доставьте его как можно скорее. Спасибо!"
в замешательстве,1,испорченный товар,False,False,27,женщина,ZLOOJb,3,"['Хлеб', 'Огурцы', 'Кофе']","[2, 2, 4]","[2593, 1104, 3477]",21302,['Огурцы'],1,"Добрый день!В замешательстве обращаюсь к вам с жалобой на испорченный товар. Я приобрела 2 огурца, но с одним из них возникли проблемы. Огурец был испорченный, что меня очень расстроило. Я надеюсь на вашу помощь в решении этой ситуации.Спасибо!"
в недоумении,30,привезли не все товары,True,True,21,мужчина,3KT7oO,2,"['Чай', 'Кофе']","[2, 2]","[7988, 9826]",35628,['Чай'],1,"яндекс лавко, почему привезли не все товары? я заказала 2 чая, а привезли только 1! я в недоумении! подумайте пожалуйста, как такое могло случиться. спасибо!"
в замешательстве,2,привезли не все товары,True,False,36,женщина,R4lQ20,6,"['Огурцы', 'Курица', 'Хлеб', 'Сок', 'Картофель', 'Молоко']","[2, 3, 2, 3, 4, 4]","[7163, 1865, 2825, 3638, 1953, 2624]",54793,['Сок'],3,"Яндекс Лавка, я в замешательстве! Не привезли сок. Почему не привезли сок? Что делать? Я очень расстроен. Я хочу сок!"
злой,1,испорченный товар,True,True,29,женщина,WcH8Ms,2,"['Рыба', 'Молоко']","[3, 3]","[5935, 4789]",32172,['Молоко'],2,"яндекс лавка! заказывала 3 МОЛОКО, а пришли два испорченного! что за херь? я злая!!"
в замешательстве,4,испорченный товар,True,False,25,мужчина,zDCt6r,5,"['Сок', 'Курица', 'Огурцы', 'Картофель', 'Молоко']","[3, 2, 3, 4, 4]","[8471, 8789, 8903, 9696, 2694]",119260,['Картофель'],1,"Добрый день! Я обратилась в Вашу службу поддержки, так как испытываю замешательство в связи с приобретенным товаром в Яндекс Лавке. Отмечаю, что купленный товар - картофель - оказался испорченным. Я заказала 4 картофеля, но проблема возникла с одним из них. Просьба принять меры и решить данную ситуацию. Благодарю!"
радостный,15,привезли не все товары,False,False,33,женщина,qi7t3t,2,"['Картофель', 'Огурцы']","[2, 4]","[3379, 2582]",17086,['Картофель'],1,"Добрый день, Яндекс Лавка! Я очень радостный, потому что с вами сотрудничать всегда приятно. Однако, в последнем заказе поставка была не полной. Я заказал 2 картофеля, но привезли только 1. Прошу вас проверить и дополнить заказ. Спасибо!"
негативный,4,испорченный товар,True,True,35,мужчина,dIakiI,2,"['Хлеб', 'Курица']","[3, 4]","[3263, 9868]",49261,['Хлеб'],1,"здравствуйтехочу сообщить вам о проблеме с одним из заказанных товаровя заказал 3 хлеба, но когда получил посылку обнаружил, что один из них испорченя очень расстроен этим и хотел бы получить возможность заменить испорченный хлеб или вернуть деньги за негоспасибо за внимание и надеюсь, что ситуацию можно решить"
нейтральный,1,испорченный товар,False,True,33,мужчина,GM0OWk,2,"['Молоко', 'Чай']","[3, 3]","[2944, 3673]",19851,['Чай'],1,"Здравствуйте, Яндекс Лавка! Чай, который я получил, оказался испорченным. В заказе было 3 чая, но один из них оказался неисправным. Прошу решить эту проблему. Спасибо!"
в недоумении,5,привезли не все товары,True,True,32,мужчина,YOnM7I,6,"['Сок', 'Хлеб', 'Томаты', 'Молоко', 'Картофель', 'Кофе']","[2, 3, 3, 3, 2, 4]","[7326, 4128, 7105, 8741, 9561, 8222]",126584,['Сок'],2,"яндекс лавка, не привезли сок! я в недоумении. сегодня делала заказ, а сок не привезли. очень ждала его доставку. что делать? спасите!"
в недоумении,15,испорченный товар,True,False,22,женщина,hErFoU,4,"['Огурцы', 'Рыба', 'Картофель', 'Кофе']","[3, 4, 3, 4]","[5320, 1078, 7219, 2050]",50129,['Кофе'],3,"Добрый день, Яндекс Лавка! Я снова обращаюсь к вам с жалобой. Недавно я приобрела 4 пакета кофе, однако из них 3 оказались испорченными. Я в полном недоумении! Пожалуйста, примите меры по замене данных товаров. Спасибо большое!"
уверенный,2,испорченный товар,True,False,25,мужчина,dK9jOU,10,"['Сок', 'Курица', 'Рыба', 'Кофе', 'Чай', 'Хлеб', 'Молоко', 'Картофель', 'Огурцы', 'Томаты']","[3, 2, 3, 3, 3, 3, 2, 2, 3, 2]","[2767, 6126, 8494, 7355, 1434, 4142, 7073, 5325, 6579, 8597]",146555,['Чай'],1,"Здравствуйте, Яндекс Лавка!У меня возникла проблема с одним из заказанных товаров - чаем. Мне доставили испорченный чай. Я очень уверен, что по вашей вине, так как упаковка была повреждена и чай покрыт плесенью. Я заказал 3 пачки чая, но только одна из них испорчена.Прошу вас принять меры по данной ситуации и обменять мне испорченный чай на новый. Уверен, что вы найдете решение этой проблемы.Спасибо!"
уважительный,15,"уточнение, где курьер",True,True,22,женщина,vTFPRw,3,"['Сок', 'Курица', 'Молоко']","[3, 4, 2]","[4862, 6190, 5680]",50706,['Молоко'],1,"Уважаемый курьер,Хочу обратиться с жалобой и уточнением по поводу доставки товара. Я не получил никакой информации о местонахождении товара и не знаю, когда он будет доставлен. Прошу вас уточнить, в каком месте находится мой заказ или разрешить проблему с доставкой.Спасибо за понимание.С наилучшими пожеланиями, [Твое Имя]"
эмпатичный,1,проблемы с доставкой,True,True,31,мужчина,29NhJT,5,"['Томаты', 'Молоко', 'Сок', 'Кофе', 'Огурцы']","[4, 4, 3, 3, 3]","[4400, 5174, 1584, 9218, 3596]",81490,['Сок'],2,"Здравствуйте, хочу выразить недовольство доставкой товара, так как он до сих пор не поступил. Что происходит? Я ожидал его уже давно."
обеспокоенный,30,привезли не все товары,False,True,21,мужчина,3MO4oD,3,"['Рыба', 'Молоко', 'Курица']","[4, 4, 4]","[1550, 1742, 6130]",37688,['Рыба'],3,"яндекс лавка, привезли не все товары, я очень обеспокоен(а). заказывал(а) 4 рыбы, а привезли только 1. что происходит? нужно решить проблему! спасибо."
требовательный,4,испорченный товар,True,False,30,мужчина,HSaUOS,3,"['Молоко', 'Курица', 'Сок']","[2, 4, 3]","[8948, 1574, 3864]",35784,['Сок'],1,"Яндекс Лавка, у меня жалоба! Получил испорченный товар! Я требую замену этого сока немедленно! Заказал 3 штуки, а одна из них испорчена! Ужасно разочарован! Жду ответа!"
радостный,15,испорченный товар,True,False,35,женщина,fhrbq7,2,"['Рыба', 'Молоко']","[4, 2]","[6793, 6100]",39372,['Рыба'],2,"Здравствуйте, Яндекс Лавка! Сегодня я получил испорченный товар - рыбу. Какой же я был радостный, когда получил свою долгожданную посылку! Но к моему огорчению, две из четырех заказанных рыб оказались испорченными. Это очень неприятно, ведь я так на них надеялся. Буду очень благодарен, если вы поможете разрешить эту проблему. Заранее спасибо за вашу поддержку! Посмотрите, пожалуйста, что можно сделать с испорченными рыбами. Спасибо!"
уважительный,30,испорченный товар,True,True,23,женщина,pIwHkW,2,"['Картофель', 'Кофе']","[4, 3]","[4872, 8408]",44712,['Картофель'],3,"Добрый день! Я хотел(а) бы пожаловаться на то, что я получил(а) испорченный товар. Вчера я заказал(а) 4 картофеля, но когда я открыл(а) пакет, я обнаружил(а), что 3 из них испорчены. Я очень расстроен(а) этим и ожидал(а) более качественный товар. Я надеюсь, что вы поможете решить эту проблему. Спасибо за ваше внимание. Жду ответа!"
в замешательстве,1,испорченный товар,False,False,27,женщина,ORFtdK,3,"['Хлеб', 'Сок', 'Кофе']","[4, 3, 4]","[1418, 4123, 4945]",37821,['Хлеб'],3,"Здравствуйте, Яндекс Лавка! Я очень в замешательстве и хотел(а) бы обратить ваше внимание на проблему с испорченным товаром. Я заказал(а) 4 хлеба, но с 3-мя из них возникли проблемы. Будьте так любезны(на) разобраться в этой ситуации и предпринять необходимые меры. Благодарю!"
раздраженный,3,проблемы с доставкой,True,True,32,мужчина,KVOeHb,2,"['Картофель', 'Рыба']","[3, 3]","[9688, 1128]",32448,['Рыба'],1,"Здравствуйте! Хочу пожаловаться на проблему с доставкой заказанного товара. Он никак не появляется у меня дома, что происходит?"
радостный,30,привезли не все товары,True,False,36,мужчина,XJrWUv,4,"['Чай', 'Огурцы', 'Хлеб', 'Рыба']","[4, 2, 4, 3]","[1659, 3452, 6464, 9439]",67713,['Рыба'],3,"Здравствуйте, я заказал рыбу в Яндекс Лавку, но её не привезли. Очень радостный был, что решил попробовать вкусную рыбу от Яндекс Лавки, но она так и не появилась. Что происходит? Я очень разочарован. Почему товар не был доставлен? Яндекс Лавка обещала доставить рыбу, а её нет. Надеюсь, что вы сможете разобраться в этой ситуации и привезти мне долгожданную рыбу. Пожалуйста, исправьте эту ошибку как можно скорее. Спасибо заранее за ваше внимание."
испуганный,2,привезли не все товары,False,True,21,мужчина,V37QcD,3,"['Томаты', 'Рыба', 'Молоко']","[4, 2, 3]","[2744, 3031, 2545]",24673,['Рыба'],2,"яндекс лавка, я очень испуганный, не привезли рыбу"
